2025-04-04T20:07:07.450753400 - [Kokk Bob] Tilbereder PASTA for kunde 1
2025-04-04T20:07:07.452746600 - [Kokk Alice] Tilbereder PIZZA for kunde 2
2025-04-04T20:07:17.482289200 - [Kokk Alice] Tilbereder BURGER for kunde 3
2025-04-04T20:07:17.482289200 - [Kokk Bob] Tilbereder BURGER for kunde 4
2025-04-04T20:07:27.485619700 - [Kokk Alice] Tilbereder PASTA for kunde 5
2025-04-04T20:09:25.779384400 - [Kokk Bob] Tilbereder SALAT for kunde 1
2025-04-04T20:09:25.779384400 - [Kokk Alice] Tilbereder PIZZA for kunde 2
2025-04-04T20:09:35.784441500 - [Kokk Alice] Tilbereder PASTA for kunde 3
2025-04-04T20:09:35.784441500 - [Kokk Bob] Tilbereder PASTA for kunde 4
2025-04-04T20:09:45.788282900 - [Kokk Bob] Tilbereder SALAT for kunde 5
2025-04-06T20:07:47.396029600 - [Kokk Eivind Hellstrøm] Tilbereder BURGER for kunde 5
2025-04-06T20:07:49.825952100 - [Kokk Jamie Oliver] Tilbereder PASTA for kunde 6
2025-04-06T20:07:52.512887800 - [Kokk Arne Brimi] Tilbereder SALAT for kunde 2
2025-04-06T20:07:55.097131100 - [Kokk Lars Monsen] Tilbereder PASTA for kunde 7
2025-04-06T20:11:49.219467700 - [Kokk Eivind Hellstrøm] Tilbereder BURGER for kunde 1
2025-04-06T20:11:51.473832100 - [Kokk Jamie Oliver] Tilbereder SALAT for kunde 2
2025-04-06T20:11:52.904950300 - [Kokk Arne Brimi] Tilbereder BURGER for kunde 3
2025-04-06T20:11:54.641802 - [Kokk Lars Monsen] Tilbereder PASTA for kunde 4
2025-04-06T20:15:16.565061500 - [Kokk Eivind Hellstrøm] Tilbereder PIZZA for kunde 1
2025-04-06T20:15:18.196512100 - [Kokk Jamie Oliver] Tilbereder PIZZA for kunde 2
2025-04-06T20:15:20.829156400 - [Kokk Arne Brimi] Tilbereder BURGER for kunde 3
2025-04-06T20:15:21.868339 - [Kokk Lars Monsen] Tilbereder SALAT for kunde 4
2025-04-06T20:15:24.616552500 - [Kokk Gordon Ramsay] Tilbereder SALAT for kunde 5
2025-04-06T20:15:26.571600200 - [Kokk Eivind Hellstrøm] Tilbereder PIZZA for kunde 1
2025-04-06T20:15:28.198157300 - [Kokk Jamie Oliver] Tilbereder BURGER for kunde 6
2025-04-06T20:15:30.830875 - [Kokk Arne Brimi] Tilbereder PASTA for kunde 7
2025-04-06T20:15:31.869891200 - [Kokk Lars Monsen] Tilbereder PIZZA for kunde 2
2025-04-06T20:15:34.617993100 - [Kokk Gordon Ramsay] Tilbereder PIZZA for kunde 8
2025-04-06T20:15:36.572824600 - [Kokk Eivind Hellstrøm] Tilbereder BURGER for kunde 3
2025-04-06T20:15:38.199437400 - [Kokk Jamie Oliver] Tilbereder SALAT for kunde 4
2025-04-06T20:16:26.622412700 - [Kokk Eivind Hellstrøm] Tilbereder BURGER for kunde 1
2025-04-06T20:16:28.063268500 - [Kokk Jamie Oliver] Tilbereder BURGER for kunde 2
2025-04-06T20:16:30.214392100 - [Kokk Arne Brimi] Tilbereder PASTA for kunde 3
2025-04-06T20:16:32.791382700 - [Kokk Lars Monsen] Tilbereder PASTA for kunde 4
2025-04-06T20:16:35.079520700 - [Kokk Gordon Ramsay] Tilbereder PASTA for kunde 5
2025-04-06T20:16:36.627530300 - [Kokk Eivind Hellstrøm] Tilbereder BURGER for kunde 1
2025-04-06T20:16:38.065189100 - [Kokk Jamie Oliver] Tilbereder PASTA for kunde 6
2025-04-06T20:16:40.215526400 - [Kokk Arne Brimi] Tilbereder BURGER for kunde 2
2025-04-06T20:16:42.794062200 - [Kokk Lars Monsen] Tilbereder PASTA for kunde 7
2025-04-06T20:16:45.082162600 - [Kokk Gordon Ramsay] Tilbereder PASTA for kunde 3
2025-04-06T20:16:46.628497200 - [Kokk Eivind Hellstrøm] Tilbereder PASTA for kunde 8
2025-04-06T20:16:48.066168600 - [Kokk Jamie Oliver] Tilbereder PASTA for kunde 4
2025-04-06T20:16:50.216485700 - [Kokk Arne Brimi] Tilbereder BURGER for kunde 9
2025-04-06T20:21:39.303046 - [Kokk Eivind Hellstrøm] Tilbereder PIZZA for kunde 1
2025-04-06T20:21:40.479684400 - [Kokk Jamie Oliver] Tilbereder BURGER for kunde 2
2025-04-06T20:21:42.910154500 - [Kokk Arne Brimi] Tilbereder SALAT for kunde 3
2025-04-06T20:21:44.771323700 - [Kokk Gordon Ramsay] Tilbereder BURGER for kunde 4
2025-04-06T20:21:47.188871800 - [Kokk Lars Monsen] Tilbereder SALAT for kunde 5
2025-04-06T20:21:49.309918900 - [Kokk Eivind Hellstrøm] Tilbereder SALAT for kunde 6
2025-04-06T20:21:50.480787 - [Kokk Jamie Oliver] Tilbereder PIZZA for kunde 1
2025-04-06T20:21:52.911216300 - [Kokk Arne Brimi] Tilbereder BURGER for kunde 2
2025-04-06T20:21:54.773788400 - [Kokk Gordon Ramsay] Tilbereder PASTA for kunde 7
2025-04-06T20:21:57.189871300 - [Kokk Lars Monsen] Tilbereder SALAT for kunde 3
2025-04-06T20:21:59.311350900 - [Kokk Eivind Hellstrøm] Tilbereder PASTA for kunde 8
2025-04-06T20:22:00.483054400 - [Kokk Jamie Oliver] Tilbereder BURGER for kunde 4
2025-04-06T20:22:02.913339600 - [Kokk Arne Brimi] Tilbereder BURGER for kunde 9
2025-04-06T20:22:04.776125600 - [Kokk Gordon Ramsay] Tilbereder SALAT for kunde 10
2025-04-06T20:22:07.191324700 - [Kokk Lars Monsen] Tilbereder SALAT for kunde 5
2025-04-06T20:22:09.312511600 - [Kokk Eivind Hellstrøm] Tilbereder BURGER for kunde 11
2025-04-06T20:22:10.484159900 - [Kokk Jamie Oliver] Tilbereder SALAT for kunde 6
2025-04-06T20:22:12.914158700 - [Kokk Arne Brimi] Tilbereder BURGER for kunde 2
2025-04-06T20:22:14.776686600 - [Kokk Gordon Ramsay] Tilbereder SALAT for kunde 12
2025-04-06T20:22:17.192511600 - [Kokk Lars Monsen] Tilbereder SALAT for kunde 13
2025-04-06T20:22:19.313743100 - [Kokk Eivind Hellstrøm] Tilbereder PASTA for kunde 8
2025-04-06T20:29:07.875580 - [Kokk Eivind Hellstrøm] Tilbereder PIZZA for kunde 1
2025-04-06T20:29:10.738896600 - [Kokk Jamie Oliver] Tilbereder BURGER for kunde 2
2025-04-06T20:29:12.198990700 - [Kokk Arne Brimi] Tilbereder SALAT for kunde 3
2025-04-06T20:29:13.359168400 - [Kokk Lars Monsen] Tilbereder PASTA for kunde 4
2025-04-06T20:29:15.311232600 - [Kokk Gordon Ramsay] Tilbereder BURGER for kunde 5
2025-04-06T20:29:17.881780800 - [Kokk Eivind Hellstrøm] Tilbereder SALAT for kunde 6
2025-04-06T20:29:20.740284600 - [Kokk Jamie Oliver] Tilbereder PIZZA for kunde 1
2025-04-06T20:29:22.200997200 - [Kokk Arne Brimi] Tilbereder BURGER for kunde 7
2025-04-06T20:29:23.360782200 - [Kokk Lars Monsen] Tilbereder PASTA for kunde 8
2025-04-06T20:29:25.312871200 - [Kokk Gordon Ramsay] Tilbereder BURGER for kunde 2
2025-04-06T20:29:27.882924300 - [Kokk Eivind Hellstrøm] Tilbereder SALAT for kunde 3
2025-04-06T20:29:30.741010100 - [Kokk Jamie Oliver] Tilbereder PIZZA for kunde 9
2025-04-06T20:29:32.203225 - [Kokk Arne Brimi] Tilbereder PASTA for kunde 4
2025-04-06T20:29:33.362923300 - [Kokk Lars Monsen] Tilbereder BURGER for kunde 10
2025-04-06T20:33:29.241758700 - [Kokk Eivind Hellstrøm] Tilbereder SALAT for kunde 1
2025-04-06T20:33:30.968365300 - [Kokk Jamie Oliver] Tilbereder BURGER for kunde 2
2025-04-06T20:33:33.693718900 - [Kokk Arne Brimi] Tilbereder SALAT for kunde 3
2025-04-06T20:33:35.213953500 - [Kokk Lars Monsen] Tilbereder PIZZA for kunde 4
2025-04-06T20:33:36.467986400 - [Kokk Gordon Ramsay] Tilbereder SALAT for kunde 5
2025-04-06T20:33:39.248340200 - [Kokk Eivind Hellstrøm] Tilbereder PIZZA for kunde 6
2025-04-06T20:33:40.971436500 - [Kokk Jamie Oliver] Tilbereder SALAT for kunde 1
2025-04-06T20:33:43.694766700 - [Kokk Arne Brimi] Tilbereder SALAT for kunde 7
2025-04-06T20:33:45.214626700 - [Kokk Lars Monsen] Tilbereder BURGER for kunde 2
2025-04-06T20:33:46.469104400 - [Kokk Gordon Ramsay] Tilbereder PASTA for kunde 8
2025-04-06T20:35:24.848647300 - [Kokk Eivind Hellstrøm] Tilbereder SALAT for kunde 1
2025-04-06T20:35:26.276518200 - [Kokk Jamie Oliver] Tilbereder BURGER for kunde 2
2025-04-06T20:35:27.455824900 - [Kokk Arne Brimi] Tilbereder PASTA for kunde 3
2025-04-06T20:35:29.987224800 - [Kokk Lars Monsen] Tilbereder BURGER for kunde 4
2025-04-06T20:35:31.132049500 - [Kokk Gordon Ramsay] Tilbereder BURGER for kunde 5
2025-04-06T20:35:34.854916600 - [Kokk Eivind Hellstrøm] Tilbereder PASTA for kunde 6
2025-04-06T20:35:36.277457100 - [Kokk Jamie Oliver] Tilbereder PIZZA for kunde 7
2025-04-06T20:35:37.457638800 - [Kokk Arne Brimi] Tilbereder SALAT for kunde 1
2025-04-06T20:35:39.988147200 - [Kokk Lars Monsen] Tilbereder PIZZA for kunde 8
2025-04-06T20:35:41.134214400 - [Kokk Gordon Ramsay] Tilbereder BURGER for kunde 2
2025-04-06T20:35:44.857166200 - [Kokk Eivind Hellstrøm] Tilbereder PASTA for kunde 3
2025-04-06T20:44:53.574802800 - Kunde 1 la inn bestilling på PIZZA
2025-04-06T20:44:53.579818800 - [Kokk Eivind Hellstrøm] Tilbereder PIZZA for kunde 1
2025-04-06T20:44:56.055225100 - Kunde 2 la inn bestilling på BURGER
2025-04-06T20:44:56.056117600 - [Kokk Jamie Oliver] Tilbereder BURGER for kunde 2
2025-04-06T20:44:57.314274400 - Kunde 3 la inn bestilling på PASTA
2025-04-06T20:44:57.315171 - [Kokk Arne Brimi] Tilbereder PASTA for kunde 3
2025-04-06T20:44:58.454259100 - Kunde 4 la inn bestilling på PIZZA
2025-04-06T20:44:58.455152300 - [Kokk Lars Monsen] Tilbereder PIZZA for kunde 4
2025-04-06T20:45:00.587162800 - Kunde 5 la inn bestilling på BURGER
2025-04-06T20:45:00.588160400 - [Kokk Gordon Ramsay] Tilbereder BURGER for kunde 5
2025-04-06T20:45:01.915304600 - Kunde 6 la inn bestilling på BURGER
2025-04-06T20:45:03.214997800 - Kunde 7 la inn bestilling på BURGER
2025-04-06T20:45:03.580986200 - Kunde 1 mottok sin bestilling: Bestilling [Kundenummer 1, Måltid: PIZZA]
2025-04-06T20:45:03.581954200 - Kunde 1 la inn bestilling på PIZZA
2025-04-06T20:45:03.584948500 - [Kokk Eivind Hellstrøm] Tilbereder BURGER for kunde 6
2025-04-06T20:45:04.549104300 - Kunde 8 la inn bestilling på SALAT
2025-04-06T20:45:06.058287300 - Kunde 2 mottok sin bestilling: Bestilling [Kundenummer 2, Måltid: BURGER]
2025-04-06T20:45:06.058287300 - [Kokk Jamie Oliver] Tilbereder BURGER for kunde 7
2025-04-06T20:45:06.058287300 - Kunde 2 la inn bestilling på BURGER
2025-04-06T20:45:06.963214300 - Kunde 9 la inn bestilling på PIZZA
2025-04-06T20:45:07.315563900 - Kunde 3 mottok sin bestilling: Bestilling [Kundenummer 3, Måltid: PASTA]
2025-04-06T20:45:07.315563900 - [Kokk Arne Brimi] Tilbereder PIZZA for kunde 1
2025-04-06T20:45:07.315563900 - Kunde 3 la inn bestilling på PASTA
2025-04-06T20:45:08.457105800 - Kunde 4 mottok sin bestilling: Bestilling [Kundenummer 4, Måltid: PIZZA]
2025-04-06T20:45:08.457105800 - [Kokk Lars Monsen] Tilbereder SALAT for kunde 8
2025-04-06T20:45:08.457105800 - Kunde 4 la inn bestilling på PIZZA
2025-04-06T20:45:08.817183100 - Kunde 10 la inn bestilling på BURGER
2025-04-06T20:45:10.590317900 - Kunde 5 mottok sin bestilling: Bestilling [Kundenummer 5, Måltid: BURGER]
2025-04-06T20:45:10.590317900 - [Kokk Gordon Ramsay] Tilbereder BURGER for kunde 2
2025-04-06T20:45:10.590317900 - Kunde 5 la inn bestilling på BURGER
2025-04-06T20:45:11.604127300 - Kunde 11 la inn bestilling på PASTA
2025-04-06T20:45:13.080287 - Kunde 12 la inn bestilling på PIZZA
2025-04-06T20:45:13.585295100 - Kunde 6 mottok sin bestilling: Bestilling [Kundenummer 6, Måltid: BURGER]
2025-04-06T20:45:16.060747500 - Kunde 7 mottok sin bestilling: Bestilling [Kundenummer 7, Måltid: BURGER]
2025-04-06T20:45:17.317682300 - Kunde 1 mottok sin bestilling: Bestilling [Kundenummer 1, Måltid: PIZZA]
2025-04-06T20:45:18.458209600 - Kunde 8 mottok sin bestilling: Bestilling [Kundenummer 8, Måltid: SALAT]
2025-04-06T20:45:20.591076600 - Kunde 2 mottok sin bestilling: Bestilling [Kundenummer 2, Måltid: BURGER]
2025-04-06T20:50:24.233621300 - Kunde 1 la inn bestilling på BURGER
2025-04-06T20:50:24.238609200 - [Kokk Eivind Hellstrøm] Tilbereder BURGER for kunde 1
2025-04-06T20:50:26.556556500 - Kunde 2 la inn bestilling på PASTA
2025-04-06T20:50:26.557527500 - [Kokk Arne Brimi] Tilbereder PASTA for kunde 2
2025-04-06T20:50:28.832057100 - Kunde 3 la inn bestilling på PASTA
2025-04-06T20:50:28.832969300 - [Kokk Jamie Oliver] Tilbereder PASTA for kunde 3
2025-04-06T20:50:30.598113100 - Kunde 4 la inn bestilling på BURGER
2025-04-06T20:50:30.598113100 - [Kokk Lars Monsen] Tilbereder BURGER for kunde 4
2025-04-06T20:50:33.276410800 - Kunde 5 la inn bestilling på BURGER
2025-04-06T20:50:33.277379800 - [Kokk Gordon Ramsay] Tilbereder BURGER for kunde 5
2025-04-06T20:50:34.239758300 - Kunde 1 mottok sin bestilling: Bestilling [Kundenummer 1, Måltid: BURGER]
2025-04-06T20:50:34.240758300 - Kunde 1 la inn bestilling på BURGER
2025-04-06T20:50:34.242752200 - [Kokk Eivind Hellstrøm] Tilbereder BURGER for kunde 1
2025-04-06T20:50:35.525996900 - Kunde 6 la inn bestilling på PIZZA
2025-04-06T20:50:36.557837100 - Kunde 2 mottok sin bestilling: Bestilling [Kundenummer 2, Måltid: PASTA]
2025-04-06T20:50:36.557837100 - [Kokk Arne Brimi] Tilbereder PIZZA for kunde 6
2025-04-06T20:50:36.557837100 - Kunde 2 la inn bestilling på PASTA
2025-04-06T20:50:37.078146300 - Kunde 7 la inn bestilling på SALAT
2025-04-06T20:50:38.559554800 - Kunde 8 la inn bestilling på BURGER
2025-04-06T20:50:38.834116 - Kunde 3 mottok sin bestilling: Bestilling [Kundenummer 3, Måltid: PASTA]
2025-04-06T20:50:38.834116 - [Kokk Jamie Oliver] Tilbereder PASTA for kunde 2
2025-04-06T20:50:38.834116 - Kunde 3 la inn bestilling på PASTA
2025-04-06T20:50:40.599240300 - Kunde 4 mottok sin bestilling: Bestilling [Kundenummer 4, Måltid: BURGER]
2025-04-06T20:50:43.277965900 - Kunde 5 mottok sin bestilling: Bestilling [Kundenummer 5, Måltid: BURGER]
2025-04-06T20:50:44.244246200 - Kunde 1 mottok sin bestilling: Bestilling [Kundenummer 1, Måltid: BURGER]
2025-04-06T20:50:46.559305500 - Kunde 6 mottok sin bestilling: Bestilling [Kundenummer 6, Måltid: PIZZA]
2025-04-06T20:50:48.836037100 - Kunde 2 mottok sin bestilling: Bestilling [Kundenummer 2, Måltid: PASTA]
2025-04-06T20:59:53.991514900 - Kunde 1 la inn bestilling på SALAT
2025-04-06T20:59:53.997007300 - [Kokk Eivind Hellstrøm] Tilbereder SALAT for kunde 1
2025-04-06T20:59:56.609684900 - Kunde 2 la inn bestilling på BURGER
2025-04-06T20:59:56.610577400 - [Kokk Jamie Oliver] Tilbereder BURGER for kunde 2
2025-04-06T20:59:57.905444100 - Kunde 3 la inn bestilling på PASTA
2025-04-06T20:59:57.906441700 - [Kokk Arne Brimi] Tilbereder PASTA for kunde 3
2025-04-06T21:00:00.739791800 - Kunde 4 la inn bestilling på PIZZA
2025-04-06T21:00:00.739791800 - [Kokk Gordon Ramsay] Tilbereder PIZZA for kunde 4
2025-04-06T21:00:02.765695800 - Kunde 5 la inn bestilling på PIZZA
2025-04-06T21:00:02.766693300 - [Kokk Lars Monsen] Tilbereder PIZZA for kunde 5
2025-04-06T21:00:04.000295800 - Kunde 1 mottok sin bestilling: Bestilling [Kundenummer 1, Måltid: SALAT]
2025-04-06T21:00:04.001812100 - Kunde 1 la inn bestilling på SALAT
2025-04-06T21:00:04.003808600 - [Kokk Eivind Hellstrøm] Tilbereder SALAT for kunde 1
2025-04-06T21:00:05.490933100 - Kunde 6 la inn bestilling på SALAT
2025-04-06T21:00:06.610910 - Kunde 2 mottok sin bestilling: Bestilling [Kundenummer 2, Måltid: BURGER]
2025-04-06T21:00:07.908530800 - Kunde 3 mottok sin bestilling: Bestilling [Kundenummer 3, Måltid: PASTA]
2025-04-06T21:00:10.741937400 - Kunde 4 mottok sin bestilling: Bestilling [Kundenummer 4, Måltid: PIZZA]
2025-04-06T21:00:12.767640900 - Kunde 5 mottok sin bestilling: Bestilling [Kundenummer 5, Måltid: PIZZA]
2025-04-06T21:00:14.004782800 - Kunde 1 mottok sin bestilling: Bestilling [Kundenummer 1, Måltid: SALAT]
2025-04-06T21:28:51.412146800 - Kunde 1 la inn bestilling på PASTA
2025-04-06T21:28:51.418129200 - [Kokk Eivind Hellstrøm] Tilbereder PASTA for kunde 1
2025-04-06T21:28:52.954796700 - Kunde 2 la inn bestilling på SALAT
2025-04-06T21:28:52.954796700 - [Kokk Arne Brimi] Tilbereder SALAT for kunde 2
2025-04-06T21:28:55.774806400 - Kunde 3 la inn bestilling på SALAT
2025-04-06T21:28:55.775804500 - [Kokk Gordon Ramsay] Tilbereder SALAT for kunde 3
2025-04-06T21:28:57.873030500 - Kunde 4 la inn bestilling på BURGER
2025-04-06T21:28:57.873926700 - [Kokk Lars Monsen] Tilbereder BURGER for kunde 4
2025-04-06T21:28:59.202462300 - Kunde 5 la inn bestilling på SALAT
2025-04-06T21:28:59.203459100 - [Kokk Jamie Oliver] Tilbereder SALAT for kunde 5
2025-04-06T21:29:01.420289500 - Kunde 1 mottok sin bestilling: Bestilling [Kundenummer 1, Måltid: PASTA]
2025-04-06T21:29:02.956161400 - Kunde 2 mottok sin bestilling: Bestilling [Kundenummer 2, Måltid: SALAT]
2025-04-06T21:29:05.776298800 - Kunde 3 mottok sin bestilling: Bestilling [Kundenummer 3, Måltid: SALAT]
2025-04-06T21:29:07.874209100 - Kunde 4 mottok sin bestilling: Bestilling [Kundenummer 4, Måltid: BURGER]
2025-04-06T21:29:09.204267400 - Kunde 5 mottok sin bestilling: Bestilling [Kundenummer 5, Måltid: SALAT]
2025-04-06T21:30:00.044485900 - Kunde 1 la inn bestilling på SALAT
2025-04-06T21:30:00.050892 - [Kokk Eivind Hellstrøm] Tilbereder SALAT for kunde 1
2025-04-06T21:30:01.196615600 - Kunde 2 la inn bestilling på PIZZA
2025-04-06T21:30:01.197510600 - [Kokk Jamie Oliver] Tilbereder PIZZA for kunde 2
2025-04-06T21:30:03.097223700 - Kunde 3 la inn bestilling på BURGER
2025-04-06T21:30:03.098193100 - [Kokk Arne Brimi] Tilbereder BURGER for kunde 3
2025-04-06T21:30:04.727483800 - Kunde 4 la inn bestilling på PIZZA
2025-04-06T21:30:04.727483800 - [Kokk Lars Monsen] Tilbereder PIZZA for kunde 4
2025-04-06T21:30:06.773247200 - Kunde 5 la inn bestilling på BURGER
2025-04-06T21:30:06.774140300 - [Kokk Gordon Ramsay] Tilbereder BURGER for kunde 5
2025-04-06T21:30:07.989276 - Kunde 6 la inn bestilling på PASTA
2025-04-06T21:30:09.016522200 - Kunde 7 la inn bestilling på BURGER
2025-04-06T21:30:10.053130700 - Kunde 1 mottok sin bestilling: Bestilling [Kundenummer 1, Måltid: SALAT]
2025-04-06T21:30:11.198463600 - Kunde 2 mottok sin bestilling: Bestilling [Kundenummer 2, Måltid: PIZZA]
2025-04-06T21:30:13.100341700 - Kunde 3 mottok sin bestilling: Bestilling [Kundenummer 3, Måltid: BURGER]
2025-04-06T21:30:14.728617800 - Kunde 4 mottok sin bestilling: Bestilling [Kundenummer 4, Måltid: PIZZA]
2025-04-06T21:30:16.774712400 - Kunde 5 mottok sin bestilling: Bestilling [Kundenummer 5, Måltid: BURGER]
